Método,Ordenação Inicial,Nº de Elementos,Comparações,Movimentações,Tempo (μs)
QC,OrdC,50.000,750.015,98.301,745
QC,OrdC,100.000,1.600.016,196.605,1.544
QC,OrdC,150.000,2.456.803,253.392,2.182
QC,OrdC,200.000,3.400.017,393.213,3.074
QC,OrdC,250.000,4.250.017,393.213,3.677
QC,OrdC,300.000,5.213.588,506.784,4.586
QC,OrdC,350.000,6.213.588,656.783,5.515
QC,OrdC,400.000,7.200.018,786.428,6.451
QC,OrdC,450.000,8.100.018,786.428,7.004
QC,OrdC,500.000,9.000.018,786.428,7.629
QC,OrdD,50.000,750.028,173.297,712
QC,OrdD,100.000,1.600.030,346.601,1.493
QC,OrdD,150.000,2.456.820,478.391,2.244
QC,OrdD,200.000,3.400.032,693.210,3.124
QC,OrdD,250.000,4.250.032,768.210,3.732
QC,OrdD,300.000,5.213.606,956.783,4.648
QC,OrdD,350.000,6.213.606,1.181.783,5.584
QC,OrdD,400.000,7.200.034,1.386.426,6.517
QC,OrdD,450.000,8.100.034,1.461.426,7.123
QC,OrdD,500.000,9.000.034,1.536.426,7.795
QC,Ale,50.000,1.048.084,598.874,3.709
QC,Ale,100.000,2.210.582,1.266.518,7.747
QC,Ale,150.000,3.443.453,1.961.686,12.002
QC,Ale,200.000,4.787.744,2.664.807,16.302
QC,Ale,250.000,5.956.552,3.400.461,20.730
QC,Ale,300.000,7.308.915,4.129.633,25.639
QC,Ale,350.000,8.683.891,4.870.717,29.705
QC,Ale,400.000,9.994.370,5.620.095,34.113
QC,Ale,450.000,11.263.508,6.384.275,38.720
QC,Ale,500.000,12.753.914,7.127.979,43.228
QM3,OrdC,50.000,750.015,98.301,693
QM3,OrdC,100.000,1.600.016,196.605,1.466
QM3,OrdC,150.000,2.456.803,253.392,2.199
QM3,OrdC,200.000,3.400.017,393.213,3.097
QM3,OrdC,250.000,4.250.017,393.213,3.675
QM3,OrdC,300.000,5.213.588,506.784,4.790
QM3,OrdC,350.000,6.213.588,656.783,5.489
QM3,OrdC,400.000,7.200.018,786.428,6.415
QM3,OrdC,450.000,8.100.018,786.428,7.004
QM3,OrdC,500.000,9.000.018,786.428,7.633
QM3,OrdD,50.000,750.028,173.297,711
QM3,OrdD,100.000,1.600.030,346.601,1.499
QM3,OrdD,150.000,2.456.820,478.391,2.249
QM3,OrdD,200.000,3.400.032,693.210,3.145
QM3,OrdD,250.000,4.250.032,768.210,3.732
QM3,OrdD,300.000,5.213.606,956.783,4.663
QM3,OrdD,350.000,6.213.606,1.181.783,5.580
QM3,OrdD,400.000,7.200.034,1.386.426,6.509
QM3,OrdD,450.000,8.100.034,1.461.426,7.123
QM3,OrdD,500.000,9.000.034,1.536.426,7.758
QM3,Ale,50.000,1.041.345,598.157,3.691
QM3,Ale,100.000,2.236.059,1.264.522,7.771
QM3,Ale,150.000,3.445.402,1.961.857,12.003
QM3,Ale,200.000,4.701.123,2.671.612,16.317
QM3,Ale,250.000,6.046.321,3.391.307,20.689
QM3,Ale,300.000,7.329.992,4.124.869,25.544
QM3,Ale,350.000,8.601.675,4.882.783,29.690
QM3,Ale,400.000,9.986.893,5.621.903,34.174
QM3,Ale,450.000,11.232.048,6.386.558,38.710
